ds,yhat,yhat_lower,yhat_upper
2022-04-05,70.69395412200822,50.69125541645842,89.78126339562034
2022-04-06,68.9433688614516,50.45255261596101,87.62133872149684
2022-04-07,69.15049147484046,49.90304104465092,86.17126706235597
2022-04-08,68.72006310268155,49.954799857722875,86.67616424445612
2022-04-09,69.32494219606194,50.11427815432806,88.6995570686509
2022-04-10,65.79101234481135,46.63959628463801,83.25466122043395
2022-04-11,68.38861807243619,51.02896413477806,87.36248164571953
2022-04-12,69.85611364655857,49.5359149979045,88.61268684903408
2022-04-13,66.88722211264708,46.92078087439653,85.88124007962337
2022-04-14,66.28610153358804,48.365440489061825,85.4015931043832
2022-04-15,65.5708538701583,46.97799599398858,83.37202932691332
2022-04-16,66.48643580827547,48.60391783246027,84.15470136571756
2022-04-17,63.880090010909846,44.76493044977652,81.45240696857016
2022-04-18,67.98775698477424,48.119958194722365,85.7984635421412
2022-04-19,71.45777465587366,52.530524439116995,90.00037156986554
2022-04-20,70.84378864567921,52.701070635151986,89.54236621188711
2022-04-21,72.77045638468189,55.12186511737208,92.08926052800807
2022-04-22,74.551839097067,56.564996981227274,92.46770446206773
2022-04-23,77.72214046096406,59.45596760945123,95.44294901833284
2022-04-24,76.93026920176422,58.54707006374118,94.44305450378418
2022-04-25,82.24486234104637,63.43008129578191,99.9720333258513
2022-04-27,85.2716593617828,67.86533292615994,104.54745541466569
2022-04-28,86.10791978614436,68.92860202022895,103.86648417883573
2022-04-29,86.09084316474205,67.18289828103138,104.36867001559317
2022-05-01,83.3435136326089,65.01755367650671,100.9687986497704
2022-05-02,85.74041279977105,64.77561254798262,104.88301492014367
2022-05-03,86.84797095802155,68.7527855118963,105.5331316142518
2022-05-04,83.39267733542249,64.53802898695504,101.17910778577266
2022-05-05,82.21320091270543,63.4211666820344,100.19239608488415
2022-05-06,80.861703780796,62.84492123239917,97.83786578236736
2022-05-07,81.11533425635659,61.05503218080317,98.23296691930598
2022-05-08,77.85108232189702,59.769618522813985,95.1730025106459
2022-05-12,84.68339907793624,66.13034042916685,103.19973887411022
2022-05-13,86.22343973852705,67.82784447460403,104.59838190083488
2022-05-14,89.31539222059303,69.67055300114983,107.11000261765065
2022-05-15,88.63494590147911,70.57143073119329,106.57640568546041
2022-05-16,94.27479418938361,77.01361219534562,112.91989705426114
2022-05-17,98.78161327992478,80.33389091503922,116.71712397530781
2022-05-18,98.65770050842855,80.27685701833899,117.16588048785763
2022-05-19,100.52998148624685,81.42145651907173,119.1345593942914
2022-05-20,101.76599074130652,82.78070466439337,121.21718480811504
2022-05-21,103.99681089104834,84.7507629906621,122.73261770663001
2022-05-22,101.9993536776262,82.27934307770417,120.5642853848261
2022-05-29,102.65786907623786,83.70968050348887,122.33353471311838
2022-05-30,105.15389089322022,86.81764367431505,124.15504582051932
2022-05-31,106.4204172600829,88.84810464639968,125.72986446192739
2022-06-02,101.75463411748669,82.71447189986509,120.88754155417683
2022-06-03,99.96000523342975,82.05882895412446,117.91885341657418
2022-06-04,99.35422987338848,81.93513010500861,118.81500657508704
2022-06-05,94.7623706196432,76.58685085395891,113.79188818469828
2022-06-06,96.44207296899492,77.25400251647923,115.46103633479319
2022-06-08,93.43038028346179,76.62840447019542,112.066552540081
2022-06-09,92.17676324145093,73.82672082098544,110.31627569565137
2022-06-10,90.83518706991654,71.69003032919105,109.13767359054712
2022-06-11,91.12187960521517,72.64199823982996,110.24883402367303
2022-06-12,87.86105081721757,70.04426034034044,106.07860724675925
2022-06-13,91.27356335558824,74.5659790586821,109.78917918322627
2022-06-14,94.00231446446392,75.97146472902128,111.42132956881292
2022-06-17,94.70168336969601,76.59107019620039,112.38830968403218
2022-06-18,97.10326086735438,79.00315158466164,116.202332218445
2022-06-20,100.36999950644412,81.87812747410237,118.64660065373971
2022-06-24,104.02223214341957,85.37742351476979,124.29174844408178
2022-06-27,106.21538812336195,86.7974600697793,126.43771660526592
2022-06-28,108.58287177461017,90.15027940714255,126.04528396787643
2022-07-03,105.51705939879957,87.26052140802179,123.95519247918416
2022-07-05,112.24409693402922,94.09949229306326,130.88639393369064
2022-07-09,111.56989927756294,93.36741510760771,129.15523091435338
2022-07-15,104.84951903006652,85.70379762597247,124.61952852733306
2022-07-16,104.23685209056856,86.1262521426073,122.19099426471395
2022-07-17,99.86426467487068,80.85188420855457,119.38136772829951
2022-07-18,102.04219884903941,84.78773349504873,120.0441904087168
2022-07-19,103.50751676698064,85.03933221840319,122.10852045406793
2022-07-20,100.90868230706582,81.62507785559607,118.9005937122492
2022-07-21,100.96330797905267,82.67079572153023,119.37847083324084
2022-07-22,101.06875982989123,83.80712783695029,120.52761249829769
2022-07-23,102.82621485610512,83.0579434466395,121.42943498840516
2022-07-24,100.93024618600391,82.00447590417927,118.40027951073773
2022-07-25,105.47097406506023,85.79277363437043,123.48549135294184
2022-07-28,108.8484795037372,89.60401177794719,126.48900502817183
2022-07-29,109.13265450110781,89.47077202475957,129.0777799614973
2022-07-30,110.35720501055046,92.04438393166971,129.0351515260298
2022-07-31,107.28515616747998,88.29070624188824,124.56198736504076
2022-08-02,111.61421743037468,94.69551958352932,130.14502751584817
2022-08-04,107.25776293614695,88.10722115509832,125.4242310301542
2022-08-05,105.73820909544253,86.74154394118709,124.4487556663175
2022-08-06,105.58465382014512,87.46186238740373,123.72912895767722
2022-08-07,101.65770148341369,82.65190852105201,119.09023118315207
2022-08-08,104.20861204948652,85.83340554643898,123.57046282034571
2022-08-09,105.90109709428533,87.49514301470062,123.66666393249011
2022-08-10,103.30324860333491,85.40727918286723,121.59723908672633
2022-08-14,99.67148523306464,82.30804624095077,118.70158903962188
2022-08-15,102.19681082968674,83.75061010157432,120.91228856642897
2022-08-18,97.30941122629687,78.44289398355257,117.09411587506331
2022-08-19,94.3973974944476,76.01977231381512,113.80556480904592
2022-08-20,92.39923426756775,74.78745624826786,110.48131225314002
2022-08-21,86.20287235242209,68.22629633966484,104.76245792629894
2022-08-22,86.14549979759532,67.80639545246096,102.67165402644788
2022-08-23,85.02961409271674,66.90642947513624,102.62571532923343
2022-08-24,79.60312740967284,61.295129661828064,96.88213713283106
2022-08-25,76.7083019871323,56.90125658527269,96.25972782161085
2022-08-26,73.88102031800345,55.15900436576808,90.81104024295192
2022-08-27,72.86189355185977,55.099272786876135,92.3062920069851
2022-08-28,68.47257803313825,51.735919211980395,87.63047006379203
2022-08-30,72.75420568166317,54.47094344565884,90.93058006038149
2022-08-31,70.5116811828445,51.37317045060243,89.10508848388659
2022-09-01,70.74587659534045,51.23250611915832,89.22446768137492
2022-09-02,70.7248494505814,53.235249615751464,88.11863856583582
2022-09-03,71.95415258220396,53.84797061522189,90.52212092738158
2022-09-04,69.07582699941861,50.92286647523529,88.50021432080885
2022-09-05,72.17523822202622,52.36888701986437,91.32037853257093
2022-09-06,73.8199556460047,54.87785649924035,92.5960019144812
2022-09-07,70.56101488759384,52.10863936536259,89.91736046070314
2022-09-09,66.89654515709584,49.372575387447505,85.86619776708552
2022-09-11,60.37768693331321,41.70756350829088,79.01951065824538
2022-09-12,61.27790726006336,41.286483571870015,78.81095453520354
2022-09-13,61.16646445184189,42.03298040376381,80.11018949955337
2022-09-14,56.74721825724398,39.591585554760734,75.65263100811862
2022-09-18,48.52669137200395,29.033396777754433,67.5705844060738
2022-09-19,51.14776135207248,31.76867638031318,68.17594171216317
2022-09-22,50.004653723385466,31.911725384265708,67.88524834629209
2022-09-23,49.26559063017976,30.52603447021102,68.53703391692272
2022-09-24,49.70084610718054,32.29141738643146,68.83164987891718
2022-09-25,46.0464090021795,26.240106612321043,65.0957143071507
2022-09-26,48.48522814694911,30.453154245788607,65.74731447475253
2022-09-27,49.67662504827823,31.01824421515962,68.59535850124865
2022-09-28,46.24830610000241,28.478660251980344,64.35206725814268
2022-09-30,43.282015471461136,23.560110191897653,62.30248117801679
2022-10-01,42.961903108643654,24.354633049182883,62.080142337645455
2022-10-02,38.8456161867592,20.615764931099783,56.470812820594816
2022-10-03,41.15646867307685,23.427063960652077,59.95759778477152
